FACEBOOK,,,THE MARKUP,,,THE MARKUP,,,
Rank,Domain,Content Viewers,Rank,Domain,Unique users,Rank,Domain,Impressions,Rank change
1,youtube.com,183.8M,1,youtube.com,1186,1,youtube.com,56554,0
2,gofundme.com,132.0M,2,instagram.com,1142,2,instagram.com,30201,0
3,amazon.com,131.7M,3,amazon.com,815,3,npr.org,21923,+2
4,media1.tenor.co,124.7M,4,twitter.com,784,4,nytimes.com,17865,+6
5,twitter.com,118.8M,5,npr.org,694,5,washingtonpost.com,12010,+6
6,unicef.org,111.1M,6,media1.tenor.co,679,6,amazon.com,11665,-3
7,linktr.ee,102.9M,7,gofundme.com,668,7,cnn.com,9121,+2
8,tiktok.com,99.4M,8,nbcnews.com,661,8,nbcnews.com,7682,0
9,abcnews.go.com,98.2M,9,cnn.com,658,9,dailywire.com,7674,+135
10,cdc.gov,97.8M,10,nytimes.com,628,10,ranker.com,7130,+8
11,playeralumniresources.com,97.2M,11,washingtonpost.com,616,11,huffpost.com,6139,+11
12,open.spotify.com,91.9M,12,unicef.org,570,12,buzzfeed.com,6046,+39
13,dailymail.co.uk,89.6M,13,usatoday.com,561,13,westernjournal.com,5205,+196
14,nypost.com,86.1M,14,abcnews.go.com,527,14,msnbc.com,5110,+52
15,ranker.com,85.6M,15,playeralumniresources.com,509,15,dailymail.co.uk,4802,+5
16,nbcnews.com,83.6M,16,m.tiktok.com,508,16,foxnews.com,4796,+34
17,eventbrite.com,83.4M,17,bbc.com,499,17,news.yahoo.com,4737,+31
18,cnn.com,82.8M,18,ranker.com,490,18,twitter.com,4251,-14
19,paypal.com,81.3M,19,open.spotify.com,490,19,thehill.com,4086,+16
20,etsy.com,80.9M,20,dailymail.co.uk,481,20,abcnews.go.com,3856,-6
